username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
kalltrip,2021-05-05 11:33:28,oxygen,NEED,NA,[],['Bombay'],"@bombay_poetess @darrencaldeira @srinivasiyc @ReallySwara @fayedsouza @sayanigupta @kunalkamra88 @free_thinker @HomegrownIn @thevirdas @CMOMaharashtra Oxymax 5 litres  Order Link ; we can supply the required quantity of OxyCon on/after 11May; need to preorder. See our FAQ about us and Preorder below
https://t.co/yE9M0ES7kv or place a request on
https://t.co/Dxstb7aWFO 2 day Air Express Shipping #Verified ,#OxygenConcentrator"
VineetT15164553,2021-05-05 07:11:29,oxygen,AVAILABLE,NA,['9827007176'],['Bombay'],"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach"
RetweetsMumbai,2021-05-04 17:34:08,oxygen,AVAILABLE,NA,['9769842024'],"['Mumbai', 'Bombay', 'Thane']","✅ Verified
#Mumbai(Bombay) #HospitalBeds
Rohini Hospital, Thane West | Oxygen Beds and Ventilators Available in Thane  Maharashtra
Availability: 6 Oxygen Beds2 ICU2 Ventilators1 Normal BedContact: 9769842024Veri...
👉 https://t.co/dBdHD3SQuL"
Sumit_dude11,2021-05-04 11:04:41,oxygen,AVAILABLE,NA,[],['Bombay'],"Normal and oxygen beds available in Indore 
Verified at 1:20pm - 04/05

Goyal hospital 
EA-154,scheme no.94,opposite Bharat petrol pump, Bombay hospital ring road,indore
Contact no. - +91 73546 80808 

#indorebed #Oxygen #OxygenBeds #indore #Isolation #CovidResources #CovidIndia"
