username,text,hashtags
ificanthavecv,"So grateful to my dear friend @ShawnMendes for supporting our fundraiser for @GiveIndia If anyone in Canada is struggling to donate, please swipe up and donate here https://t.co/SBfWouh6X7 #helpindiabreathe",[]
ificanthavecv,"Thank you @JayShettyIW ♥️
We are very grateful for your support in India's Covid-19 fight 🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe
https://t.co/uuzyG6Kiqh","[{'text': 'TogetherForIndia', 'indices': [108, 125]}]"
itsyoushxwn,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
carpie786,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Dj100013,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
ruinthistownn,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
BondDas81,"#DonateForOxygen , Guys In This Tough Times,  A Humble Request To All ,There  some Genuine Online Help Foundations &amp; Fund Collectors for Needy , Pitch in Whtevr U can for Their Medical, Basic, &amp; Covid Needs ,I Did My Part , Each one Help one Humble Request 🙏🙏
#helpindiabreathe https://t.co/szCMWW91wC","[{'text': 'DonateForOxygen', 'indices': [19, 35]}]"
higherkissy,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
shwn_wonder,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
pieceofdaylight,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
